day,time,information
2,1,"

Инфокоммуникационные системы и сети


Гвоздков И.В.

ауд.: 709; Б22/1

Лекция

"
3,1,"

Военная подготовка



Практические занятия

"
6,1,"

Программирование критических сервисов


Параничев А.В.

ауд.: 707; Б22/1

Лекция

"
4,ФЗ,"

Элективные дисциплины по физической культуре и спорту


Лутай С.В.; Полищук Н.В.

ауд.: Спортивные площадки

Практические занятия

"
1,2,"

Безопасность информационных технологий и систем


Мошак Н.Н.

ауд.: 501; Б22/1

Лекция

"
2,2,"

Социология


Геращенко Л.И.

ауд.: 122; Б22/1

Лекция

"
3,2,"

Военная подготовка



Практические занятия

"
6,2,"

Основы теории сложных систем


Козлова О.А.

ауд.: 702; Б22/1

Лекция

"
1,3,"

Теория информации, данные, знания


Литвинов В.Л.

ауд.: 501; Б22/1

Лекция

"
3,3,"

Военная подготовка



Практические занятия

"
4,3,"

Безопасность информационных технологий и систем


Мошак Н.Н.

ауд.: 122; Б22/1

Лекция

"
3,4,"

Военная подготовка



Практические занятия

"
4,4,"

Безопасность информационных технологий и систем


Мошак Н.Н.

ауд.: 200; Б22/2

Лабораторная работа

"
